Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/09 15:48,70,1004286A8,111121,80B5FBB90,83892.2,Euro,83892.2,Euro,Cash,0
2022/09/01 19:42,140304,80F877B90,140304,80F877B90,20.96,Swiss Franc,20.96,Swiss Franc,Reinvestment,0
2022/09/01 01:38,3,804A3F5F0,13029,804C9DF20,908584.81,Rupee,908584.81,Rupee,ACH,0
2022/09/09 09:28,70,1004286A8,14663,80BF39BA0,1501.29,Euro,1501.29,Euro,Credit Card,0
2022/09/10 21:25,117070,80648AE50,287,80648B1B0,327091.12,Ruble,327091.12,Ruble,ACH,1
2022/09/06 10:33,1267,800E00D50,14,801ED33F0,263.34,Yuan,263.34,Yuan,ACH,0
2022/09/06 18:27,20248,810E6EDC0,29794,81344ECD0,60.81,Euro,60.81,Euro,Cheque,0
2022/09/01 00:04,138395,80E4F0730,138395,80E4F0730,16.87,Swiss Franc,16.87,Swiss Franc,Reinvestment,0
2022/09/08 07:35,29788,803943730,29788,803943730,4466.19,UK Pound,38636.99,Yuan,ACH,0
2022/09/08 12:52,27637,80A3EF0D0,19740,8047B9AD0,32669.58,Yuan,32669.58,Yuan,ACH,1
2022/09/09 07:36,11,800B6AB80,24963,8041C4CE0,347.49,Euro,347.49,Euro,ACH,0
2022/09/01 18:25,137002,813760340,15723,8137607F0,2295.24,US Dollar,2295.24,US Dollar,ACH,1
2022/09/02 11:32,138395,80E8DB8D0,238190,80F684920,17154983.76,Swiss Franc,17154983.76,Swiss Franc,Cheque,0
2022/09/02 07:36,70,1004288E8,33739,80C792C80,12638716.43,Mexican Peso,12638716.43,Mexican Peso,Cheque,0
2022/09/01 00:21,1,80B43B710,1,80B43B710,14.21,US Dollar,14.21,US Dollar,Reinvestment,0
2022/09/08 13:40,22205,801A4DCF0,1674,80055FEA0,15892.42,US Dollar,15892.42,US Dollar,ACH,1
2022/09/01 07:54,335793,80DCF19C0,20248,80DCF23B0,22510.35,Euro,22510.35,Euro,Cheque,0
2022/09/01 10:07,6075,807B3BEA0,11030,808BB82C0,1391.27,US Dollar,1391.27,US Dollar,Cash,0
2022/09/06 02:40,70,100428660,513,805235490,10034.05,US Dollar,10034.05,US Dollar,Cheque,1
2022/09/09 16:11,338475,80E4C21A0,238845,80E4C8AC0,37.75,Swiss Franc,37.75,Swiss Franc,ACH,0
2022/09/07 09:36,13327,8028EEEB0,16163,8028EF870,958.78,US Dollar,958.78,US Dollar,ACH,1
2022/09/09 00:18,22345,801B0C870,215266,80FA67C30,33.09,US Dollar,33.09,US Dollar,Credit Card,0
2022/09/10 04:41,1362,800597E90,2385,806954880,1829.4,US Dollar,1829.4,US Dollar,ACH,1
2022/09/08 07:43,213137,80556CF20,23,8118FFC90,67.87,Euro,67.87,Euro,Cheque,0
2022/09/09 20:42,70,100428660,21611,800AC1650,4538.18,US Dollar,4538.18,US Dollar,Credit Card,0
2022/09/10 08:39,118,8000E0CA0,1655,801C0A920,2559.45,Euro,2559.45,Euro,ACH,1
2022/09/02 03:52,18902,8053EC960,9482,807CC1290,4038.48,US Dollar,4038.48,US Dollar,Cheque,0
2022/09/03 19:50,70,1004286F0,18107,80398D780,898.27,Yuan,898.27,Yuan,Cash,0
2022/09/09 20:57,16254,807AAA1B0,27103,807AAA200,2867.26,Euro,2867.26,Euro,ACH,1
2022/09/07 23:35,119,811DCA9B0,248857,811E454E0,86.16,Saudi Riyal,86.16,Saudi Riyal,Cheque,0
2022/09/05 19:54,213,809318EA0,126844,809EACCE0,83.25,Canadian Dollar,83.25,Canadian Dollar,Credit Card,0
2022/09/01 06:24,15,813E576A1,15,813E576A1,0.612362,Bitcoin,0.612362,Bitcoin,Bitcoin,0
2022/09/09 12:02,348286,811C389E0,148016,811C53230,1439.79,Saudi Riyal,1439.79,Saudi Riyal,Credit Card,0
2022/09/02 10:35,21575,800F7EB90,9129,80DAB30A0,42156.46,US Dollar,42156.46,US Dollar,Cheque,0
2022/09/06 11:04,116,80E9C6890,39556,80F214720,301.68,Swiss Franc,301.68,Swiss Franc,Credit Card,0
2022/09/05 06:31,215064,811C828F0,12585,81280A1F0,143.55,US Dollar,143.55,US Dollar,Credit Card,0
2022/09/13 12:10,14381,805C69E20,225263,80E6BFD50,958.79,US Dollar,958.79,US Dollar,ACH,1
2022/09/01 05:49,43049,80FF89190,217,8101478B0,8499.22,Shekel,8499.22,Shekel,Cheque,0
2022/09/06 00:24,17769,807B733C0,28183,809552EE0,888.24,Euro,888.24,Euro,Cash,0
2022/09/01 22:19,317776,811AA39D0,317776,811AA39D0,1370.59,Euro,1370.59,Euro,Reinvestment,0
